CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,
6,JILLIAN DEMPSEY FOR AVON CELESTIAL EYESHADOW-ALL SHADES ,,,4,New Avon LLC,AVON,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,9,Titanium dioxide,
7,ABSOLUTE Precision Color Powder System - All Shades,310,5858-81-1,11,OPI PRODUCTS INC.,OPI,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,12178,Titanium dioxide,
7,ABSOLUTE Precision Color Powder System - All Shades,311,D&C RED 7 CALCIUM LAKE,11,OPI PRODUCTS INC.,OPI,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,12178,Titanium dioxide,
17,Radiant RedFX,330,D&C RED 6 BARIUM LAKE,11,OPI PRODUCTS INC.,ABSOLUTE FX,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,17964,Titanium dioxide,
17,Radiant RedFX,331,D&C RED 7 CALCIUM LAKE,11,OPI PRODUCTS INC.,ABSOLUTE FX,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,17964,Titanium dioxide,
17,Radiant RedFX,332,MICA,11,OPI PRODUCTS INC.,ABSOLUTE FX,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,17964,Titanium dioxide,
18,SPECTRA LASH MASCARA ,,,4,New Avon LLC,AVON,44,Makeup Products (non-permanent),162,Mascara/Eyelash Products,656,13463-67-7,24,Titanium dioxide,
24,White Premium Lotion Soap,,,181,"GOJO Industries, Inc.",GOJO?,74,Personal Care Products,170,Hand Cleansers and Sanitizers,162,68603-42-9,26,Cocamide diethanolamine,
35,Natural Nail Sculpting Powder,,,33,"Entity Beauty, Inc.",Entity Nail Sculpting Powder,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,34,Titanium dioxide,
36,White Nail Sculpting Powder,,,33,"Entity Beauty, Inc.",Entity Nail Sculpting Powder,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,35,Titanium dioxide,
37,UV Nail Topcoat,,,33,"Entity Beauty, Inc.",Entity Nail Top Coat,59,Nail Products,168,UV Gel Nail Polish,658,108-88-3,36,Toluene,
38,Pure Blends Natural Lipgloss-Natural,,,23,Revlon Consumer Product Corporation,Almay,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,37,Titanium dioxide,
41,Aloe Up Lil' Kids SPF 30+ Sunscreen Stick,,,31,"Aloecare International, LLC",Aloe Up Lil' Kids SPF 30+ Sunscreen Stick,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,40,Titanium dioxide,
42,Aloe Up SPF 30 Sunscreen Stick,,,31,"Aloecare International, LLC",Aloe Up SPF 30 Sunscreen Stick,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,42,Titanium dioxide,
43,Skin Prep Scrub,,,43,Dermalogica,Dermalogica,6,Bath Products,166,Scrubs and Exfoliants,162,,43,Cocamide diethanolamine,
43,Skin Prep Scrub,,,43,Dermalogica,Dermalogica,6,Bath Products,166,Scrubs and Exfoliants,656,13463-67-7,581,Titanium dioxide,
44,ECLAT MINUTE EMBELLISSEUR DE TEINT,356,3,22,CLARINS S.A.,CLARINS PARIS,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,49,Titanium dioxide,
45,Enzymatic Sea Mud - professional only,,,43,Dermalogica,Dermalogica,6,Bath Products,166,Scrubs and Exfoliants,730,,52,Chromium (hexavalent compounds),
46,Colorstay 12 Hour Eye Shadow Quad- Copper Spice-champagne 99,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,53,Titanium dioxide,
47,Gel Polishes,1,moonshine,46,"McConnell Labs, Inc.",Light Elegance,59,Nail Products,60,Artificial Nails and Related Products,656,13463-67-7,54,Titanium dioxide,
47,Gel Polishes,1,moonshine,46,"McConnell Labs, Inc.",Light Elegance,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,54,Titanium dioxide,
84,Help Me Retinol Cream,,,841,Philosophy,Philosophy,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),958,68-26-8,91,Retinol,
85,Divine Illumination,33,Timiron Splendid Gold,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,92,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
85,Divine Illumination,33,Timiron Splendid Gold,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,93,Titanium dioxide,
85,Divine Illumination,34,Timiron Splendid Red,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,92,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
85,Divine Illumination,34,Timiron Splendid Red,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,93,Titanium dioxide,
86,Eye Believe,,,841,Philosophy,Philosophy,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),958,68-26-8,94,Retinol,
87,Colorstay 12 Hour Eye Shadow Quad- Sterling Rose- sterling grey 73,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,95,Titanium dioxide,
135,Colorstay Makeup for Combination/Oily Skin- Caramel,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,143,Titanium dioxide,
136,Colorstay Makeup for Combination/Oily Skin- Cappuccino,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,144,Titanium dioxide,
137,Colorstay Makeup for Combination/Oily Skin- Mahogany,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,145,Titanium dioxide,
138,Colorstay Makeup for Combination/Oily Skin- Mocha,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,146,Titanium dioxide,
139,Eye Hope,35,Timiron Splendid Red,841,Philosophy,Philosophy,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),773,79-81-2,147,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
139,Eye Hope,35,Timiron Splendid Red,841,Philosophy,Philosophy,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),656,13463-67-7,148,Titanium dioxide,
140,Shelter Tinted,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,79-81-2,149,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
140,Shelter Tinted,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,150,Titanium dioxide,
