state_fips_code,county_fips_code,postal_code,name,poverty_estimate_all_ages,90_ci_lower_bound,90_ci_upper_bound,poverty_percent_all_ages,90_ci_lower_bound_2,90_ci_upper_bound_2,median_household_income,90_ci_lower_bound_3,90_ci_upper_bound_3
0,0,US,United States,48208387,47966830,48449944,15.5,15.4,15.6,53657,53564,53750
1,0,AL,Alabama,905682,888317,923047,19.2,18.8,19.6,42917,42335,43499
1,1,AL,Autauga County,7204,5845,8563,13.1,10.6,15.6,54366,50916,57816
1,3,AL,Baldwin County,25696,21539,29853,13,10.9,15.1,49626,46516,52736
1,5,AL,Barbour County,5943,4539,7347,25.4,19.4,31.4,34971,32475,37467
1,7,AL,Bibb County,3666,2752,4580,18.1,13.6,22.6,39546,36344,42748
1,9,AL,Blount County,10000,8513,11487,17.5,14.9,20.1,45567,41885,49249
1,11,AL,Bullock County,3179,2474,3884,35.1,27.3,42.9,26580,23720,29440
1,13,AL,Butler County,4988,4098,5878,25,20.5,29.5,32512,29470,35554
1,15,AL,Calhoun County,23114,20246,25982,20.5,18,23,41123,39130,43116
1,17,AL,Chambers County,7170,5900,8440,21.3,17.5,25.1,34116,31147,37085
1,19,AL,Cherokee County,4768,3840,5696,18.6,15,22.2,38013,34618,41408
1,21,AL,Chilton County,7874,6373,9375,18.1,14.6,21.6,41450,37827,45073
1,23,AL,Choctaw County,3293,2686,3900,25,20.4,29.6,35049,31556,38542
1,25,AL,Clarke County,6137,5034,7240,24.9,20.4,29.4,36620,33045,40195
1,27,AL,Clay County,2592,2050,3134,19.5,15.4,23.6,35940,32461,39419
1,29,AL,Cleburne County,2527,1961,3093,17,13.2,20.8,40418,36212,44624
1,31,AL,Coffee County,8407,7058,9756,16.8,14.1,19.5,46931,44521,49341
1,33,AL,Colbert County,9022,7439,10605,16.7,13.8,19.6,43057,40574,45540
1,35,AL,Conecuh County,3846,3170,4522,30.6,25.2,36,29101,26030,32172
1,37,AL,Coosa County,1976,1531,2421,18.8,14.6,23,34679,31183,38175
1,39,AL,Covington County,7778,6372,9184,20.8,17,24.6,36149,33485,38813
1,41,AL,Crenshaw County,2929,2383,3475,21.2,17.2,25.2,34445,30934,37956
1,43,AL,Cullman County,13809,11622,15996,17.2,14.5,19.9,39922,36753,43091
1,45,AL,Dale County,10865,9474,12256,22.4,19.5,25.3,41940,39123,44757
1,47,AL,Dallas County,14470,12636,16304,35.2,30.7,39.7,26602,24316,28888
1,49,AL,DeKalb County,16856,14769,18943,24,21,27,36241,32733,39749
1,51,AL,Elmore County,10867,9033,12701,14.4,12,16.8,54298,50247,58349
1,53,AL,Escambia County,8639,7140,10138,25.1,20.7,29.5,37077,33710,40444
1,55,AL,Etowah County,19291,16596,21986,19,16.3,21.7,39904,37653,42155
1,57,AL,Fayette County,3425,2713,4137,20.6,16.3,24.9,35664,32388,38940
1,59,AL,Franklin County,7222,5973,8471,23.1,19.1,27.1,33881,30722,37040
1,61,AL,Geneva County,6303,5191,7415,23.9,19.7,28.1,34425,31040,37810
1,63,AL,Greene County,2819,2216,3422,33.2,26.1,40.3,26504,23686,29322
1,65,AL,Hale County,4182,3450,4914,28.1,23.2,33,33315,29845,36785
1,67,AL,Henry County,2925,2251,3599,17.3,13.3,21.3,39930,35929,43931
1,69,AL,Houston County,20643,18644,22642,20.1,18.2,22,40124,38031,42217
1,71,AL,Jackson County,11440,9956,12924,22,19.1,24.9,36923,33586,40260
1,73,AL,Jefferson County,125778,117669,133887,19.5,18.2,20.8,44852,43110,46594
1,75,AL,Lamar County,2856,2233,3479,20.6,16.1,25.1,34553,31100,38006
1,77,AL,Lauderdale County,17041,14948,19134,18.7,16.4,21,41324,38496,44152
1,79,AL,Lawrence County,5499,4395,6603,16.6,13.3,19.9,41574,37719,45429
1,81,AL,Lee County,37752,34865,40639,25.2,23.3,27.1,41256,38469,44043
