gender,cancer,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2002_2012
Female,"Lung, CRC, Breast, Ovarian, Prostatic",359984.405006,349260.92014,349500.712956,351296.720577,352323.206334,358256.099667,359454.334875,361992.618075,351158.94506,353450.826635,353632.705936,3895334.9066339997
Male,"Lung, CRC, Breast, Ovarian, Prostatic",459140.547309,434265.706953,430045.75587999995,416134.82554800005,432316.13722,439456.48667199997,419020.332653,409894.65997200005,392691.32702599996,383995.88886,344891.04386399995,4539362.349017999
Female,Lung,78906.707726,79303.642332,79404.893438,81022.221819,81632.16408599999,82250.33156100001,81476.31590500001,82193.067525,78943.92764,77946.12582000002,77397.04981,877418.7143779999
Male,Lung,119481.05291399999,118928.128995,116213.03369599998,115141.282854,115851.33935,114009.93758,113014.40295599999,112049.938322,107678.334444,103471.9461,101983.91081999999,1232089.386234
Female,CRC,69683.845784,67932.35656,66592.846842,66140.58924,65700.23615099999,65248.866378000006,64315.270240000005,63477.37852500001,61173.68098,59568.58396,59364.33511200001,707324.1075599999
Male,CRC,89822.635524,88305.91614,86152.979188,84940.29063,83148.999255,83360.512802,82518.452952,79324.72080400001,75891.93345699999,74193.21764799999,72624.90619,895177.2291
Female,Breast,191191.392004,182235.930424,183986.94821,184592.37178800002,185265.561987,191151.608544,193564.22678,196826.66265,192013.01922,197400.14791,198359.861678,2095026.642392
Male,Breast,1271.075031,1424.28897,1294.452108,1451.97078,1466.47265,1628.713394,1644.389461,1508.07454,1672.9684730000001,1686.209492,1699.731847,16275.94962
Female,Ovarian,20348.854126,19788.990824,19516.024466,19691.857251,19876.976757,19605.293184000002,19943.917935,19339.5453,19185.576039999996,18535.968945,18671.040881999998,213881.33728599997
Male,Prostatic,248424.553281,225322.515054,226097.63486399996,214310.887128,231702.6787,240013.12833399998,221843.087284,216861.118852,207296.00260900002,204491.223848,168427.97392999998,2392564.5941399997
